,Material,STPO_Cut_Off,Key,Kolkata_STPO,GUWAHATI_STPO,Ranchi_STPO,Patna_STPO,Cuttack_STPO,Delhi_STPO,Ghaziabad_STPO,Chandigarh_STPO,LUCKNOW_STPO,Jalandhar_STPO,Jaipur_STPO,Chennai_STPO,Coimbatore_STPO,Madurai_STPO,Bangalore_STPO,SECUNDERABAD_STPO,Vijayawada_STPO,Cochin_STPO,Bhiwandi_STPO,AHMEDABAD_STPO,Pune_STPO,Indore_STPO,Nagpur_STPO,RAIPUR_STPO,GW07_STPO
311,S-90000765,M_15th,S-90000765_M_15th,,,,,,3.0,,,,,,,4.0,,,,,,4.0,,,,,,
312,S-90000766,M_15th,S-90000766_M_15th,,,,,,10.0,,,,,,,4.0,,,,,,,,,,,,
313,S-90000767,M_15th,S-90000767_M_15th,,,,,,14.0,,,,,,18.0,,,,,,,,,,,,,
314,S-90000769,M_15th,S-90000769_M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,
315,S-90000772,M_15th,S-90000772_M_15th,,,,,,5.0,,,,,,,,,,,,,,,,,,,
316,S-90000782,M_15th,S-90000782_M_15th,,,,,,,,,,6.0,,,,,,,,,,,,,,,
317,S-90000787,M_15th,S-90000787_M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
318,S-90000794,M_15th,S-90000794_M_15th,,,,,,46.0,3.0,,20.0,,,,,,,,,,6.0,,,,,,
319,S-90000795,M_15th,S-90000795_M_15th,,,,,,,,,,6.0,,,,,,,,,,,,,,,
320,S-90000800,M_15th,S-90000800_M_15th,,,,,,,50.0,,,6.0,,,,,,,,,4.0,,,,,,
321,S-90000807,M_15th,S-90000807_M_15th,,,,,,50.0,,,30.0,20.0,,,,,,,,,36.0,,,,,,
322,S-90000809,M_15th,S-90000809_M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
323,S-90000814,M_15th,S-90000814_M_15th,,,,,,,,,,24.0,,,2.0,,,,2.0,,50.0,,,,,,
324,S-90000815,M_15th,S-90000815_M_15th,,,,,,,,,20.0,,,,,,,,,,,,,,,,
325,S-90000817,M_15th,S-90000817_M_15th,,,,,,,,,,,,,,,,,,,,,,,2.0,,
326,S-90000821,M_15th,S-90000821_M_15th,,,,,,,,,,24.0,,,,,,,,,4.0,,,,,,
327,S-90000827,M_15th,S-90000827_M_15th,,,,,,,,,,,,,,,4.0,,,,,,,,,,
328,S-90000831,M_15th,S-90000831_M_15th,,,,,,,,,10.0,,,,,,,,,,,,,,,,
329,S-90000834,M_15th,S-90000834_M_15th,,,,,,,,,,,,,,,4.0,,,,,,,,,,
330,S-90000835,M_15th,S-90000835_M_15th,,,,,,,,,,,,,,,,,,,,,,,,,1.0
331,S-90000984,M_15th,S-90000984_M_15th,,,,,,,,,,,,5.0,,,,,,,,,,,,,
332,S-90000987,M_15th,S-90000987_M_15th,,,,,1.0,,,,,,,26.0,,,,8.0,,,,,,,,,
333,S-90000991,M_15th,S-90000991_M_15th,,,,,,10.0,,,,,,,,,,,,,,,,,,,
334,S-90000992,M_15th,S-90000992_M_15th,,,,,,10.0,,,,,,,,,,,,,,,,,,,
335,S-90000993,M_15th,S-90000993_M_15th,,,,,,10.0,,,,,,,,,,,,,,,,,,,
336,S-90000996,M_15th,S-90000996_M_15th,,,,,,,,,,,,,,,1.0,,,,,,,,,,
337,S-90001030,M_15th,S-90001030_M_15th,,,,,,,,,,,,,,,,,1.0,,,,,,,,
338,S-90001033,M_15th,S-90001033_M_15th,,,,,,4.0,,,,,,,,,,,,,,,,,,,
339,S-90001034,M_15th,S-90001034_M_15th,,,,,,4.0,,,,,,,,,,,,,,,,,,,
340,S-90001035,M_15th,S-90001035_M_15th,,,,,,4.0,,,,,,,,,,,,,,,,,,,
341,S-90001246,M_15th,S-90001246_M_15th,,,,,,,,,,,,,,,,,,,,,,,,15.0,
342,S-90001257,M_15th,S-90001257_M_15th,,,,,,6.0,,,,,,,,,,,,,,,,,,,
343,S-90001264,M_15th,S-90001264_M_15th,,,,,,3.0,,,,,,,,,,,,,,,,,,,
344,S-90001265,M_15th,S-90001265_M_15th,,,,,,12.0,,,,,,,,,,,,,,,,,,,
345,S-90001266,M_15th,S-90001266_M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,,
346,S-90001268,M_15th,S-90001268_M_15th,,,,,,300.0,,,,,,,,,,,,,,,,,,,
347,S-90001269,M_15th,S-90001269_M_15th,,,,,2.0,250.0,,,,,,,,,,,,,,,,,,20.0,2.0
348,S-90001273,M_15th,S-90001273_M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,,
349,S-90001274,M_15th,S-90001274_M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,,
350,S-90001275,M_15th,S-90001275_M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,,
351,S-90001293,M_15th,S-90001293_M_15th,,,,,,,4.0,,,,,,,,,,,,,,,,,,
352,S-90001336,M_15th,S-90001336_M_15th,,,,,,,,,,12.0,,,,,,,,,,,,,,,
353,S-90001352,M_15th,S-90001352_M_15th,,,,,,,,,,,,,,,,,,,20.0,,,,,,
354,S-90001353,M_15th,S-90001353_M_15th,,,,,,,,,,24.0,,,,,,,,,,,,,,,
355,S-90001354,M_15th,S-90001354_M_15th,,,,,,,,,,24.0,,,,,,,,,,,,,,,
356,S-90001377,M_15th,S-90001377_M_15th,,,,,4.0,,,,,,,,,,,,,,,,,,,,
